Init Time = 1571693483781   Final Time = 1571693484212
Init Time = 1571693483782   Final Time = 1571693484219
Init Time = 1571693483785   Final Time = 1571693484220
Init Time = 1571693509352   Final Time = 1571693509478
Init Time = 1571693509537   Final Time = 1571693509706
Init Time = 1571693509538   Final Time = 1571693509714
Init Time = 1571693527875   Final Time = 1571693528020
Init Time = 1571693527936   Final Time = 1571693528026
Init Time = 1571693528070   Final Time = 1571693528123
Init Time = 1571693547158   Final Time = 1571693547302
Init Time = 1571693547225   Final Time = 1571693547305
Init Time = 1571693547256   Final Time = 1571693547337
Init Time = 1571693568714   Final Time = 1571693568883
Init Time = 1571693568744   Final Time = 1571693568894
Init Time = 1571693568757   Final Time = 1571693568914
Init Time = 1571693588112   Final Time = 1571693588240
Init Time = 1571693588179   Final Time = 1571693588307
Init Time = 1571693588184   Final Time = 1571693588327
Init Time = 1571693607241   Final Time = 1571693607382
Init Time = 1571693607240   Final Time = 1571693607385
Init Time = 1571693607240   Final Time = 1571693607386
Init Time = 1571693627332   Final Time = 1571693627430
Init Time = 1571693627541   Final Time = 1571693627602
Init Time = 1571693627544   Final Time = 1571693627604
Init Time = 1571693646371   Final Time = 1571693646454
Init Time = 1571693646499   Final Time = 1571693646594
Init Time = 1571693646646   Final Time = 1571693646703
Init Time = 1571693668534   Final Time = 1571693668611
Init Time = 1571693668980   Final Time = 1571693669095
Init Time = 1571693668977   Final Time = 1571693669103
Init Time = 1571693692952   Final Time = 1571693693061
Init Time = 1571693693045   Final Time = 1571693693110
Init Time = 1571693693104   Final Time = 1571693693160
Init Time = 1571693711482   Final Time = 1571693711560
Init Time = 1571693711400   Final Time = 1571693711566
Init Time = 1571693711416   Final Time = 1571693711570
Init Time = 1571693729971   Final Time = 1571693730107
Init Time = 1571693730013   Final Time = 1571693730137
Init Time = 1571693730016   Final Time = 1571693730145
Init Time = 1571693752251   Final Time = 1571693752334
Init Time = 1571693752450   Final Time = 1571693752514
Init Time = 1571693752482   Final Time = 1571693752545
Init Time = 1571693770524   Final Time = 1571693770648
Init Time = 1571693770902   Final Time = 1571693770987
Init Time = 1571693771038   Final Time = 1571693771113
